電気機器,漏電遮断器（ELB）は零相変流器（ZCT）を用いて回路の漏電を検知する。,正解,流れ込む電流と戻る電流の差（地絡電流）を見ます。
電気機器,無停電電源装置（UPS）は停電時に蓄電池の直流をインバータで交流に変えて供給する。,正解,コンピュータなどの重要な負荷を保護します。
電気機器,放電灯（蛍光灯等）には電流の増加を抑えるための安定器（バラスト）が必要である。,正解,放電が始まると抵抗が減少する負抵抗特性を持つためです。
電気機器,放電加工機は電極と工作物の間に火花放電を発生させて金属を削り取る機器である。,正解,硬い金属の精密加工に適しています。
電気機器,変流器（CT）を回路から外す際は、まず二次側を短絡しなければならない。,正解,開放すると二次側に高電圧が発生し大変危険です。
電気機器,変流器（CT）の定格二次電流は日本では一般に5Aまたは1Aが標準である。,正解,計器やリレーの標準仕様に合わせています。
電気機器,変圧器の励磁突入電流は、投入直後の数サイクルで定格電流の数倍から十数倍に達することがある。,正解,磁気飽和によって生じる現象です。
電気機器,変圧器の保護に用いられる比率差動リレーは一次側と二次側の電流の差を監視する。,正解,内部故障を高速に検知するための主要な保護方式です。
電気機器,分路リアクトルは、軽負荷時の送電線で発生する電圧上昇（フェランチ効果）を抑制するために設置される。,正解,遅れ無効電力を消費して電圧を下げます。
電気機器,避雷器の「制限電圧」とは放電中に避雷器の両端子間に残る電圧のことである。,正解,この電圧が機器の絶縁耐力より低い必要があります。
電気機器,避雷器（LA）は過電圧が発生したときのみ放電し通常は絶縁を保つ装置である。,正解,雷から設備を守るための必須機器です。
電気機器,避雷器（LA）は、雷による過電圧が発生した際に接地へ放流し、機器を保護する装置である。,正解,異常電圧のみを逃がします。
電気機器,燃料電池は水素と酸素の化学反応を利用して発電し、排水以外に有害物質を出さない。,正解,クリーンな次世代電源として期待されています。
電気機器,燃料電池は、水素と酸素の化学反応によって直接電気エネルギーを取り出す装置である。,正解,発電時に水しか出さないクリーンなエネルギー源です。
電気機器,熱電対は2種類の異なる金属をつなぎ、接合点の温度差による起電力を測定するセンサである。,正解,ゼーベック効果を利用した温度測定です。
電気機器,電力用変圧器の油の劣化を判定する指標として「酸価」が用いられる。,正解,酸化が進むと酸価が上昇し、絶縁性能が低下します。
電気機器,電力用トランジスタ（IGBT等）はスイッチング動作により電力を制御する。,正解,高速にON/OFFを繰り返すことで電圧や周波数を調整します。
電気機器,電力用コンデンサは系統の力率を改善するために負荷と直列に接続する。,不正解,力率改善のためには負荷と「並列」に接続します。
電気機器,電力用コンデンサは、系統の力率を改善し、電圧降下を抑制するために設置される。,正解,進み無効電力を供給します。
電気機器,電気二重層キャパシタは二次電池に比べて充放電サイクル寿命が非常に長い。,正解,化学反応を伴わない物理的なイオンの吸着を利用するためです。
電気機器,電気機器の筐体を接地（アース）する主な目的は、感電防止と電磁ノイズの抑制である。,正解,保安上、極めて重要な施工です。
電気機器,電気機器の銘板にある「S1」は連続定格、「S2」は短時間定格を表す国際規格の記号である。,正解,IEC規格に基づいた定格の種類です。
電気機器,電気機器の絶縁診断に用いられる「誘電正接（tanδ）」は絶縁の劣化度合いを示す。,正解,劣化すると電流の位相が変わり、tanδが大きくなります。
電気機器,電気機器の温度上昇試験において、抵抗法は巻線の抵抗変化から平均温度上昇を求める方法である。,正解,銅の抵抗値が温度で変わる性質を利用します。
電気機器,電気機器のIPコードにおける「X」の表記（例：IPX4）は、その項目の保護を規定しないことを意味する。,正解,防水のみ、あるいは防塵のみを指定する場合に使われます。
電気機器,電気機器の「定格寿命」とは全個数のうち50%が故障するまでの平均時間を指すことが多い。,正解,統計的な寿命の考え方です。
電気機器,電気機器における「絶縁抵抗」は、テスタではなくメガー（絶縁抵抗計）を用いて測定する。,正解,高い電圧（500Vや1000Vなど）を印加して漏れ電流を測ります。
電気機器,直熱形真空管はフィラメント自体が電子を放出する陰極として機能する。,正解,直接加熱方式の構造です。
電気機器,直熱形真空管のフィラメントは、熱電子を放出する陰極（カソード）を兼ねている。,正解,直接加熱して電子を出します。
電気機器,超電導マグネットは極低温で電気抵抗がゼロになる性質を利用して強力な磁界を作る。,正解,MRIやリニア中央新幹線などに使われています。
電気機器,蓄電池の容量は [Ah]（アンペア時）で表され、電流と時間の積で定義される。,正解,10Ahなら1Aで10時間、2Aで5時間流せます。
電気機器,断路器（DS）は負荷電流が流れている状態での開閉が禁止されている。,正解,アークを消す能力がないため、非常に危険です。
電気機器,断路器（DS）は、電流が流れている回路を遮断するために用いられる。,不正解,断路器は電流遮断能力がないため、無負荷状態でしか操作できません。
電気機器,太陽電池は光エネルギーを直接電気エネルギーに変換する半導体素子である。,正解,PN接合の光起電力効果を利用します。
電気機器,太陽電池は、光電変換効率が100%に近い非常に優れた電源である。,不正解,一般的な結晶シリコン系で20%程度です。
電気機器,静止形無効電力補償装置（SVC）はサイリスタを用いて無効電力を高速に制御する。,正解,系統電圧の安定化に寄与します。
電気機器,整流用ダイオードはアノードからカソードへ向かう方向のみ電流を流す。,正解,逆方向には高い抵抗を持ち電流を阻止します。
電気機器,整流器（ダイオード）は、交流を直流に変換する「整流作用」を持つ。,正解,一方向のみに電流を流します。
電気機器,真空遮断器（VCB）は、電極を真空中に配置することで、優れた消弧性能と小形化を実現している。,正解,中電圧領域（6.6kV等）で広く普及しています。
電気機器,遮断器（CB）は、負荷電流だけでなく、短絡事故などの大電流も遮断できる。,正解,電力系統の保護の要です。
電気機器,遮断器（CB）の中で、SF6ガスを用いたものをガス遮断器（GCB）と呼ぶ。,正解,優れた消弧性能と絶縁性能を持ちます。
電気機器,磁気軸受は磁気力によって回転軸を非接触で支持するため、摩擦がなく高速回転が可能である。,正解,真空ポンプやフライホイール電力貯蔵などに使われます。
電気機器,三相誘導電動機の銘板にある「JIS C 4210」などの記号は規格への適合を示している。,正解,標準的な仕様や寸法が定められています。
電気機器,三相誘導電動機の銘板に「4極 50Hz」とある場合、同期速度は1500min-1である。,正解,120 × 50 / 4 = 1500 です。
電気機器,三相変圧器の「混触防止板」は一次側と二次側の巻線間に配置し、万一の接触時に接地へ逃がす役割を持つ。,正解,低圧側への高電圧侵入を防ぐ安全装置です。
電気機器,三相交流回路においてクランプメーターを使えば電線を挟むだけで電流が測定できる。,正解,電磁誘導を利用して非接触で測定します。
電気機器,高圧カットアウトは小型の変圧器やコンデンサの保護に用いられるヒューズ付きのスイッチである。,正解,配電系統でよく見られる機器です。
電気機器,光ファイバーは石英ガラスやプラスチックで作られており、電磁ノイズの影響を受けない。,正解,光の全反射を利用して情報を伝送します。
電気機器,鉛蓄電池は放電が進むと電解液の比重が低下する。,正解,硫酸が消費され水が生成されるためです。
電気機器,鉛蓄電池は、放電すると電解液（硫酸）の濃度が低下し、比重が下がる。,正解,比重を測ることで充電状態を推測できます。
電気機器,リチウムイオン二次電池はメモリー効果が大きいため継ぎ足し充電は避けるべきである。,不正解,リチウムイオン電池はメモリー効果がほとんどなく、継ぎ足し充電に適しています。
電気機器,リチウムイオン電池は、メモリー効果がほとんどなく、継ぎ足し充電に適している。,正解,ニカド電池などに比べ使い勝手が良いです。
電気機器,パワートランジスタやIGBTは、ベースやゲートの信号によって電流をオン・オフするスイッチング素子である。,正解,高速な電力制御が可能です。
電気機器,パワースイッチング素子の「オン抵抗」は、導通時の電力損失を決定する重要なパラメータである。,正解,これが小さいほど熱の発生が少なく効率が良いです。
電気機器,ニッケル水素電池はニカド電池に比べてエネルギー密度が高く、環境負荷も低い。,正解,モバイル機器やハイブリッド車などに使われてきました。
電気機器,スマートメーターは通信機能を持ち、電力使用量を遠隔で検針できる次世代の電力量計である。,正解,HEMS（住宅エネルギー管理システム）との連携も可能です。
電気機器,ガス絶縁開閉装置（GIS）は遮断器や断路器をガス容器内に密閉し、小形化したものである。,正解,省スペース化と信頼性向上に寄与します。
電気機器,ガス絶縁開閉装置（GIS）に使用されるSF6（六フッ化硫黄）ガスは、空気より絶縁性能が低い。,不正解,空気の約3倍、消弧性能は100倍以上の優れた性能を持ちます。
電気機器,インバータの「ソフトスタート」機能は始動時の電流を抑え、機械的な衝撃を緩和する。,正解,徐々に周波数と電圧を上げていく機能です。
電気機器,アルカリ蓄電池は鉛蓄電池に比べて機械的強度に優れ、過充放電にも強い。,正解,鉄道車両や非常用電源などに広く使われます。
