パワーエレクトロニクス,力率改善（PFC）回路は、入力電流を電圧と同位相の正弦波に近づけるために用いられる。,正解,高調波抑制と力率向上のための回路です。
パワーエレクトロニクス,同期整流は、ダイオードの代わりにオン抵抗の低いMOSFETを用いて整流を行い、損失を減らす手法である。,正解,低電圧・大電流の電源装置でよく使われます。
パワーエレクトロニクス,電力用素子の「絶対最大定格」は、一瞬でも超えてはならない限界値である。,正解,これを超えると素子が破壊される恐れがあります。
パワーエレクトロニクス,電力変換装置の効率計算において、素子のスイッチング損失は無視できるほど小さい。,不正解,高周波動作になるほどスイッチング損失は増大し、熱設計の大きな課題となります。
パワーエレクトロニクス,電力変換回路の「リミットサイクル」とは、制御の遅れ等により出力が一定の範囲で振動し続ける現象である。,正解,デジタル制御などで問題となることがあります。
パワーエレクトロニクス,電力変換回路における「ソフトスイッチング」は、電圧や電流がゼロの瞬間に切り換えて損失を減らす技術である。,正解,ZVS（ゼロ電圧スイッチング）などが代表的です。
パワーエレクトロニクス,電磁調理器（IH）は、高周波の磁界によって鍋に渦電流を発生させて発熱させる装置である。,正解,パピエの応用技術の一つです。
パワーエレクトロニクス,電磁調理器（IH）の加熱原理は、高周波磁界による導電体内の誘導加熱である。,正解,パワーエレクトロニクスによる高周波発生技術が核となっています。
パワーエレクトロニクス,転流失敗とは、サイリスタ回路において逆電圧が加わる時間が足りず、オフにならない現象である。,正解,インバータ動作時などに発生すると短絡事故につながります。
パワーエレクトロニクス,転流とは、電流が流れている素子から別の素子へ電流が移り変わる現象をいう。,正解,サイリスタ回路などでは転流失敗に注意が必要です。
パワーエレクトロニクス,直流送電（HVDC）の変換所では、大容量のサイリスタバルブ等が使われている。,正解,交流と直流を相互に変換して長距離送電を行います。
パワーエレクトロニクス,単相ブリッジ全波整流回路において、出力電圧の平均値は入力実効電圧の約0.9倍である。,正解,2√2/π ≒ 0.9 の関係です。
パワーエレクトロニクス,単相ブリッジインバータにおいて、4個のスイッチを適切に操作することで交流出力を得る。,正解,対角線上のペアを交互にON/OFFさせます。
パワーエレクトロニクス,単相インバータの出力電圧波形を正弦波に近づけるためには、パルス数を増やすのが有効である。,正解,多重パルス化や多レベル化によって高調波を減らせます。
パワーエレクトロニクス,双方向サイリスタ（トライアック）は、交流の位相制御に用いられる。,正解,一つの素子で交流の両方向を制御できます。
パワーエレクトロニクス,整流回路の平滑コンデンサは、出力電圧の脈動（リプル）を抑える役割を持つ。,正解,電荷を蓄え、電圧の低下を補います。
パワーエレクトロニクス,昇圧チョッパ回路では、入力電圧よりも低い電圧を出力することはできない。,正解,Vout = Vin / (1-D) の式より必ず入力以上になります。
パワーエレクトロニクス,昇圧チョッパ回路では、出力電圧を入力電圧よりも低くすることができる。,不正解,昇圧チョッパは入力以上の電圧しか出せません。
パワーエレクトロニクス,自励式インバータは、自己消弧能力を持つ素子（IGBT、GTO等）を用いて構成される。,正解,電源の電圧に関わらず任意のタイミングでオフにできます。
パワーエレクトロニクス,三相交流から直流を得る整流回路では、6個のダイオード（またはサイリスタ）を用いるのが一般的である。,正解,三相ブリッジ回路の構成です。
パワーエレクトロニクス,三相ブリッジ整流回路の出力リプル周波数は、電源周波数の3倍である。,不正解,正負両方の半サイクルを利用するため、電源周波数の「6倍」になります。
パワーエレクトロニクス,三相ブリッジ整流回路において、出力電圧に含まれるリプル（脈動）の周波数は電源周波数の6倍である。,正解,6パルス整流とも呼ばれます。
パワーエレクトロニクス,三相インバータの出力電圧において、線間電圧には第3高調波が含まれない。,正解,相電圧に含まれていても線間では打ち消し合います。
パワーエレクトロニクス,三相インバータの180度通電方式は、各相のスイッチを半周期（180度）ずつオンにする方式である。,正解,波形は矩形波になりますが、利用率が高い方式です。
パワーエレクトロニクス,降圧チョッパ回路の出力電圧は、入力電圧にデューティ比を掛けた値になる。,正解,Vout = D * Vin です（0 < D < 1）。
パワーエレクトロニクス,交直変換装置において、無効電力を消費せず、力率1で動作可能な装置を「自励式コンバータ」と呼ぶ。,正解,IGBTなどの自己消弧素子を用いて制御します。
パワーエレクトロニクス,共振形コンバータは、LC共振を利用してスイッチング損失を低減する方式である。,正解,高周波化と高効率化を両立する手法です。
パワーエレクトロニクス,還流ダイオードは、誘導性負荷の電流をオフ時に逃がし、素子をサージ電圧から保護する。,正解,Lに蓄えられたエネルギーの通り道を確保します。
パワーエレクトロニクス,還流ダイオードは、誘導性負荷（L分）の電流を遮断した際に発生するサージ電圧を逃がす役割を持つ。,正解,電流の通り道を確保し素子を保護します。
パワーエレクトロニクス,マトリックスコンバータは、直流リンクを介さずに交流から交流へ直接変換する装置である。,正解,大型コンデンサが不要で小形化が可能ですが、制御が複雑です。
パワーエレクトロニクス,パワーデバイスの放熱板（ヒートシンク）は、素子で発生した熱を効率よく大気に逃がすために用いられる。,正解,熱抵抗を下げて接合部温度を許容値以下に保ちます。
パワーエレクトロニクス,パワーデバイスの「スナバ回路」は、スイッチング時の過渡的な電圧上昇を抑制するために設けられる。,正解,RC回路などで構成され、素子を保護します。
パワーエレクトロニクス,パワースイッチング素子の損失には、オン状態での「導通損」と切換時の「スイッチング損」がある。,正解,周波数を高くするとスイッチング損が増えます。
パワーエレクトロニクス,パワーエレクトロニクス回路における「転流」とは、電流が流れる経路が切り換わる現象のことである。,正解,サイリスタ回路等では重要な概念です。
パワーエレクトロニクス,パワーMOSFETは多数キャリアデバイスであり、高速なスイッチングが可能である。,正解,IGBTよりもさらに高周波での動作に適しています。
パワーエレクトロニクス,パワーIC（IPM）は、パワー素子と駆動回路、保護回路を一パッケージに収めたものである。,正解,インテリジェント・パワー・モジュールと呼ばれます。
パワーエレクトロニクス,バッテリチャージャー（充電器）は、交流を直流に変換し、かつ電流や電圧を精密に制御するパワーエレ装置である。,正解,電池の特性に合わせた充電制御が必要です。
パワーエレクトロニクス,チョッパ回路の「デューティ比」は、一周期に対するオン時間の割合である。,正解,D = Ton / (Ton + Toff) です。
パワーエレクトロニクス,チョッパ回路において、デューティ比とは周期に対するオン時間の割合のことである。,正解,出力電圧 = 入力電圧 × デューティ比（降圧チョッパの場合）です。
パワーエレクトロニクス,ダイオードを4個用いた単相ブリッジ整流回路において、出力電圧の平均値は入力電圧（実効値）の約0.9倍である。,正解,全波整流では 2√2/π ≒ 0.9V です。
パワーエレクトロニクス,ソフトスイッチング技術は、電圧または電流がゼロの瞬間にスイッチングを行い、損失を減らす技術である。,正解,ZVS（ゼロ電圧スイッチング）やZCS（ゼロ電流スイッチング）があります。
パワーエレクトロニクス,スイッチング電源は、商用周波数トランスを用いる電源に比べて、高周波化により大幅に軽量・小形化できる。,正解,現在の電子機器の電源の主流です。
パワーエレクトロニクス,サイリスタのゲートトリガ電流は、オンを維持するために必要な電流のことである。,不正解,オンにするために必要な信号電流です。維持には保持電流が必要です。
パワーエレクトロニクス,サイリスタ（SCR）はゲート信号をオフにするだけで電流を遮断できる。,不正解,一度オンになると電流が保持電流以下になるか逆電圧がかからない限りオフになりません。
パワーエレクトロニクス,サイリスタ（SCR）は、一度オンになると、ゲート信号をゼロにするだけでオフになる。,不正解,電流が保持電流以下になるか、逆電圧が加わらない限りオフになりません。
パワーエレクトロニクス,サイクロコンバータは、交流の周波数を直接別の周波数に変換する装置である。,正解,大容量の低速モータ駆動などに使われてきました。
パワーエレクトロニクス,コンデンサ入力型の整流回路では、入力電流が尖った波形になり、電源の力率が低下しやすい。,正解,短時間に大電流が流れるため高調波が発生します。
パワーエレクトロニクス,インバータは直流を交流に変換する装置であり、コンバータは交流を直流に変換する装置である。,正解,電力変換の基本的な分類です。
パワーエレクトロニクス,インバータは、直流を交流に変換する装置である。,正解,逆の交流から直流への変換はコンバータ（整流器）です。
パワーエレクトロニクス,インバータのデッドタイムは、上下アームの素子が同時にオンして短絡するのを防ぐための時間である。,正解,素子の破壊を防ぐために不可欠な休止時間です。
パワーエレクトロニクス,インバータによる電動機駆動において、デッドタイムとは上下の素子が同時にオンになって短絡するのを防ぐ休止時間である。,正解,これがないと電源が短絡して素子が壊れます。
パワーエレクトロニクス,アクティブフィルタは、パワーエレ技術を用いて系統の歪み電流を打ち消し、高調波を抑制する装置である。,正解,負荷が発生させる高調波と逆位相の電流を注入します。
パワーエレクトロニクス,UPS（無停電電源装置）の内部には、インバータと蓄電池が含まれている。,正解,停電時に蓄電池の直流を交流に変えて供給します。
パワーエレクトロニクス,UPS（無停電電源装置）の常時インバータ給電方式は、常にインバータ経由で電力を供給するため、切り換え時間がゼロである。,正解,信頼性が高く、精密機器の保護に適しています。
パワーエレクトロニクス,PWM（パルス幅変調）制御は、パルスの幅を変化させることで平均電圧や波形を制御する。,正解,インバータによる正弦波近似の基本技術です。
パワーエレクトロニクス,PWM（パルス幅変調）制御は、パルスの幅を変えることで出力電圧の実効値や波形を制御する手法である。,正解,インバータの可変速制御の基本です。
パワーエレクトロニクス,MOSFETは、電圧制御型の素子であり、ゲートに電流を流し続ける必要がない。,正解,入力インピーダンスが非常に高いのが特徴です。
パワーエレクトロニクス,IGBTは電圧駆動型の素子であり、MOSFETの高速性とパワートランジスタの大容量性を併せ持つ。,正解,インバータの主力素子として広く使われています。
パワーエレクトロニクス,IGBTは、MOSFETの高速性とパワートランジスタの低オン抵抗を組み合わせた素子である。,正解,電圧駆動で大容量制御が可能なため、インバータの主流です。
パワーエレクトロニクス,DC-DCコンバータにおける「絶縁形」は、トランスを用いて入力側と出力側を電気的に分離している。,正解,安全性の向上やノイズ遮断のために用いられます。
